Frequency(Hz),|Z|,CH2 Phase(Deg)
100,8708.01497,-6.61318225
112.201845,8658.007034,-5.7051375
125.892541,8553.523094,-6.58302122
141.253754,8475.873706,-6.65218054
158.489319,8409.332012,-6.7535515
177.827941,8301.072141,-6.93567179
199.526231,8253.316944,-7.15946348
223.872114,8199.488261,-7.44655604
251.188643,8122.012641,-7.76081592
281.838293,8058.808884,-8.12654963
316.227766,7971.637412,-8.56453139
354.813389,7848.690849,-9.00187205
398.107171,7796.022053,-9.58283315
446.683592,7664.959498,-10.1806787
501.187234,7538.594209,-10.826029
630.957344,7405.392763,-12.2474479
707.945784,7216.867983,-13.0845114
794.328235,7095.322497,-14.0069981
891.250938,6949.990082,-14.9672383
1000,6787.972312,-16.0172757
1122.01845,6620.852228,-17.1226211
1258.92541,6436.872989,-18.2836686
1412.53754,6254.601157,-19.5630618
1584.89319,6050.460333,-20.8672963
1778.27941,5850.018628,-22.2401428
1995.26231,5648.229887,-23.6857212
2238.72114,5433.926761,-25.1939783
2511.88643,5189.535425,-26.7712407
2818.38293,4966.233322,-28.3942549
3162.27766,4729.715061,-30.0614057
3548.13389,4477.478393,-31.7839492
3981.07171,4237.092685,-33.5092007
4466.83592,4003.995707,-35.2431575
5011.87234,3759.146161,-36.9665315
5623.41325,3520.364411,-38.6794191
6309.57344,3283.53689,-40.3362578
7079.45784,3048.634742,-41.9405331
7943.28235,2831.537212,-43.4932055
8912.50938,2610.7869,-44.9130316
10000,2410.555159,-46.2461023
11220.1845,2222.156201,-47.4626934
12589.2541,2045.582947,-48.5679564
14125.3754,1880.885427,-49.5115426
15848.9319,1732.681729,-50.3080216
17782.7941,1588.441401,-50.9526652
19952.6231,1456.735908,-51.5061038
22387.2114,1340.744852,-51.8428349
25118.8643,1231.030596,-52.086012
28183.8293,1129.391809,-52.1580167
31622.7766,1042.936012,-52.2695861
35481.3389,955.7198954,-52.0714965
39810.7171,881.963577,-51.7199714
44668.3592,814.2189964,-51.2269457
50118.7234,753.8696277,-50.58366
56234.1325,698.1518394,-49.8135429
63095.7344,647.8625059,-48.9387731
70794.5784,604.6014939,-47.9293031
79432.8235,564.7362487,-46.8222419
89125.0938,528.3802605,-45.6270084
100000,494.6804679,-44.3910054
112201.845,464.6365355,-43.0923212
125892.541,438.235547,-41.7478616
141253.754,415.0598796,-40.3933293
158489.319,393.4871184,-39.0278999
177827.941,374.7125043,-37.7013287
199526.231,358.4392764,-36.3770456
223872.114,343.3868403,-35.1045028
251188.643,330.4529631,-33.8808074
281838.293,318.4492982,-32.7760793
316227.766,308.2425025,-31.7478167
354813.389,298.665022,-30.8569739
398107.171,290.9580486,-30.0809472
446683.592,283.6812787,-29.4943463
501187.234,276.9277396,-29.0808323
562341.325,271.2038215,-28.8707029
630957.344,266.0327843,-28.826453
707945.784,260.792816,-29.0149418
794328.235,256.1033193,-29.4733989
891250.938,251.5211765,-30.1763484
1000000,247.0983529,-31.1712445
